;FECHA;CONCEPTO; VALOR  ;Proveedor;Observación
;viernes, 7 de marzo de 2025;Compras; $ 85,52 ;Goya;
;viernes, 7 de marzo de 2025;Compras; $ 1.157,73 ;Goya;
;viernes, 7 de marzo de 2025;Compras; $ 449,96 ;Cibao Meat Products;
;viernes, 7 de marzo de 2025;Compras; $ 522,00 ;Grubmarket - General;
;viernes, 7 de marzo de 2025;Compras; $ 604,00 ;P&A Produce LLC;
;viernes, 7 de marzo de 2025;Compras; $ 218,00 ;S&J Global Trading;
;jueves, 6 de marzo de 2025;Compras; $ 272,00 ;Grubmarket - General;
;jueves, 6 de marzo de 2025;Compras; $ 346,00 ;P&A Produce LLC;
;jueves, 6 de marzo de 2025;Compras; $ 28,00 ;P&A Produce LLC;
;jueves, 6 de marzo de 2025;Compras; $ 323,00 ;Distribuidora Quisqueya;
;miércoles, 5 de marzo de 2025;Compras; $ 70,00 ;INP Food;
;miércoles, 5 de marzo de 2025;Compras; $ 80,00 ;;Aguacate no tiene factura
;miércoles, 5 de marzo de 2025;Compras; $ 633,00 ;Grubmarket - General;
;lunes, 31 de marzo de 2025;Compras; $ 84,92 ;Jetro;
;martes, 4 de marzo de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;martes, 4 de marzo de 2025;Compras; $ 283,38 ;Tropical Cheese;
;martes, 4 de marzo de 2025;Compras; $ 671,00 ;P&A Produce LLC;
