"UPC","Item","Department","Quantity on Hand","Total Cost"
"041331030519","Goya Bitter Orange","General Food","3",""
"041331030601","Goya Marinade, Mojo Criollo","General Food","3",""
"041331030618","Goya Mojo Criollo","General Food","3",""
"041331030632","Goya Marinade from Concentrate, Bitter Orange","General Food","2",""
"041331030830","Goya Guava Paste","General Food","0",""
"041331032001","Goya:Honey, Pure","General Food","19",""
"041331032063","Goya Honey w/ Comb","General Food","11",""
"041331034012","Goya:Lard, Refined","General Food","16",""
"041331036139","Goya Sardines in Tomato Sauce","General Food","16",""
"041331036153","Goya Sardines in Tomato Sauce","General Food","58",""
"041331036177","Goya Sardines in Tomato Sauce, in Hot Sauce","General Food","23",""
"041331036375","Goya: Octopus in Olive Oil","General Food","11",""
"041331037204","GOYA CHILIN","General Food","24",""
"041331037341","Sal Kosher","General Food","0",""
"041331037761","Goya: Seasoning w/ Coriander & Annatto","General Food","10",""
"041331037778","Sazón Goya: Seasoning w/ Saffron","General Food","14",""
"041331037785","Goya: Seasoning w/o Annatto","General Food","9",""
"041331037792","Goya:Sazon, Econo Pak","General Food","16",""
"041331037822","Sanzon Goya","General Food","23",""
"041331037846","Goya: Seasoning w/ Saffron","General Food","30",""
"041331037877","La Vina Red Cooking Wine","General Food","2",""
"041331038027","Goya Sazonador Total","General Food","6",""
"041331038041","Goya:Cooking Wine, Dry White","General Food","3",""
"041331038058","Goya Cooking Wine, Red Wine","General Food","10",""
"041331038089","Goya Cooking Wine","General Food","12",""
"041331038225","Goya Adobo","General Food","17",""
"041331038270","Goya: All Purpose Seasoning with Pepper","General Food","10",""
"041331038287","Goya Adobo with Pepper","General Food","0",""
"041331038294","Goya Adobo without Pepper","General Food","8",""
"041331038300","Goya:All Purpose Seasoning without Pepper","General Food","13",""
"041331038430","Goya:All Purpose Seasoning","General Food","10",""
"041331038447","Goya All Purpose Seasoning","General Food","11",""
"041331038904","Gota Sea Salt","General Food","0",""
"041331039123","Goya:Garlic, Minced","General Food","6",""
"041331039284","Goya Fancy Pimientos","General Food","18",""
"041331039314","Goya Apple Cider Vinegar","General Food","14",""
"041331039338","Goya Apple Cider Vinegar","General Food","9",""
"041331039352","Goya Destilled White Vinegar","General Food","-2",""
"041331039376","Goya White Vinegar, Distilled","General Food","-20",""
"041331039383","Goya Destilled Vinegar","General Food","0",""
"041331039420","Goya:Soda Crackers","Snacks","1",""
"041331039536","Goya Tomato Sauce Spanish Style","General Food","2",""
"041331039550","Goya:Chocolate, Sweet","General Food","7",""
"041331039611","Goya: Tomato Sauce","General Food","38",""
"041331039635","Goya Tomato Sauce","General Food","19",""
"041331039680","Goya:Sliced Peaches in Heavy Syrup","General Food","11",""
"041331039697","Goya Paste, Tomato","General Food","20",""
"041331039710","Goya Fidelini","General Food","14",""
"041331039734","Goya Fidelini","General Food","11",""
